,brand,category_1stlevel,country,countrycode,countryoforigin,ddprate,ddpsubcategory,designer,freereturn,hasitemsonbag,hasusedwishlist,isreseller,issale,isusingmultipledevices,isvip,orderdate_gmt,orderportalid,platform,productid,promocode,region,returned,shipper,shiptypeid,size,storeid,style,tierafterorder,tierbeforeorder,userfraudstatus,userid
0,2,Clothing,50,50,36,0.0,Items of leather clothing & accessories,35340,1,No,No,No,Yes,Yes,Not VIP,2018-01-12 10:52:21.890000+00:00,104679,web,38724,924,3,,1,3,33,132,35349,T2,T3,3,10002.0
1,14,Clothing,27,27,1,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",12069,1,No,Yes,No,No,Yes,Not VIP,2018-02-11 22:54:23.243000+00:00,371685,app,7238,1,3,,1,3,63,128,12074,T3,T3,3,200751.0
2,14,Shoes,4,4,1,0.0,N/D,8622,1,No,Yes,No,No,Yes,Not VIP,2018-01-19 21:12:27.616000+00:00,375896,web,9075,1,3,,1,3,28,309,8627,T4,T4,4,186164.0
3,279,Girls Clothing,12,12,1,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",22639,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-11 09:33:32.726000+00:00,92216,app,24378,924,4,,2,2,65,377,22647,T3,T3,3,37526.0
4,314,Shoes,2,2,2,32.2021,Other footwear,23517,1,Yes,Yes,No,No,No,Not VIP,2018-01-17 13:50:47.180000+00:00,139968,app,25349,1,1,,2,2,23,336,23525,T2,T3,3,109042.0
5,23,Shoes,5,5,1,0.0,Other footwear,15333,1,No,Yes,No,Yes,No,Not VIP,2018-01-26 10:33:50.813000+00:00,191755,web,16314,1,3,,2,2,28,30,15340,T4,,3,143605.0
6,38,Accessories,40,40,1,5.8485,N/D,110671,1,Yes,Yes,No,No,Yes,Not VIP,2018-02-02 00:58:26.880000+00:00,229671,web,127438,4277,4,,2,2,6,1198,110695,T2,T2,3,110167.0
7,37,Shoes,4,4,1,0.0,Footwear with outer soles of rubber or plastics,7246,1,No,No,No,No,No,Not VIP,2018-01-02 14:30:33.183000+00:00,392367,web,7588,1,3,,2,2,12,36,7250,,,3,263927.0
8,50,Homeware,2,2,1,27.9203,Articles of a kind normally carried in the pocket or in the handbag,17987,1,No,Yes,No,No,No,Not VIP,2018-01-28 16:02:13.406000+00:00,393912,app,21247,1,1,,2,2,17,114,17994,,,4,264665.0
9,19,Clothing,7,7,16,0.0,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",31854,0,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-29 01:18:50.446000+00:00,206074,web,34773,1,1,,2,2,9,15,31863,T1,T1,7,73313.0
10,64,Girls Clothing,12,12,2,39.2339,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",23530,1,Yes,No,No,Yes,No,Not VIP,2018-01-31 13:43:06.600000+00:00,220605,,25365,1,4,,2,2,85,1077,23538,T2,T2,3,73383.0
11,757,Accessories,16,16,1,12.0945,Sunglasses,68405,1,No,No,No,Yes,No,Not VIP,2018-01-12 06:25:18.600000+00:00,102493,app,76600,1,4,,2,2,1,687,68422,T4,T4,3,82752.0
12,73,Clothing,16,16,1,15.4853,"Trousers, overalls, shorts",130074,1,Yes,Yes,No,No,No,VIP New,2018-02-18 11:15:53.980000+00:00,313502,web,155391,1,4,,2,2,9,607,130104,VIP,VIP,6,887.0
13,99,Shoes,19,19,26,0.0,Footwear with outer soles of rubber or plastics,4092,1,No,Yes,No,Yes,No,Not VIP,2018-01-19 21:30:43.883000+00:00,154087,app,4232,1,4,,2,2,261,22,4096,T3,T3,3,118626.0
14,1635,Clothing,9,9,20,0.0,,152186,1,No,No,No,Yes,Yes,Not VIP,2018-01-08 22:51:58.993000+00:00,387883,web,94765,921,3,,1,3,63,88,152219,T4,T4,3,261707.0
15,7,Shoes,46,46,1,5.008,Other footwear,96959,1,Yes,Yes,No,Yes,Yes,VIP,2018-01-18 18:19:20.170000+00:00,147422,web,110501,1,4,,2,2,316,30,96982,T1,T2,3,49926.0
16,479,Clothing,50,50,1,0.0,"Trousers, overalls, shorts",88499,1,No,Yes,No,No,Yes,VIP,2018-01-28 21:09:42.650000+00:00,205256,web,100328,1,3,,1,3,56,325,88521,T1,T1,3,11182.0
17,60,Clothing,17,17,4,0.0,Shirts,130935,1,No,No,No,No,No,Not VIP,2018-02-18 06:16:05.716000+00:00,312700,web,154133,1,4,,2,2,255,62,130965,,,3,218930.0
18,87,Clothing,5,5,2,0.0," T-shirts, singlets and other vests",79136,1,No,No,No,No,No,Not VIP,2018-01-15 14:39:51.970000+00:00,128349,web,89110,1,3,,4,2,3,33,79155,T4,,3,101007.0
19,14,Accessories,1,1,1,5.0083,,62514,1,No,Yes,No,No,No,Not VIP,2018-01-23 20:33:33.446000+00:00,383241,web,69814,1,1,,2,2,17,26,62530,,,4,259354.0
20,105,Clothing,5,5,1,0.0,"Trousers, overalls, shorts",111145,1,Yes,Yes,No,No,No,Not VIP,2018-02-04 14:39:50.796000+00:00,385907,app,127998,1,3,,2,2,16,22,111170,T2,T2,3,15640.0
21,1794,Accessories,1,1,10,0.0,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",65294,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-13 07:24:08.660000+00:00,116527,web,73022,924,1,,2,2,6,1033,65311,T2,T2,3,92438.0
22,14,Shoes,7,7,1,0.0,Other footwear with outer soles of leather,9663,0,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-11 04:36:03.843000+00:00,90060,,10193,924,1,,4,4,38,800,9669,T2,T2,8,60854.0
23,158,Clothing,5,5,2,0.0,,3460,1,No,No,No,Yes,No,Not VIP,2018-01-08 14:42:01.093000+00:00,54001,app,3567,921,3,,2,2,179,44,3463,T2,T3,3,46252.0
24,46,Clothing,14,14,21,0.0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",23396,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-10 07:22:09.123000+00:00,78441,web,25213,924,3,,1,3,13,563,23404,T2,T2,4,64976.0
25,81,Shoes,12,12,20,28.7029,,25107,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-05 08:49:25.243000+00:00,383899,app,27176,1,4,,2,2,158,57,25115,,,3,259681.0
26,158,Clothing,64,64,2,5.0083,"Trousers, overalls, shorts",14218,1,No,No,No,No,No,Not VIP,2018-02-13 17:52:39.820000+00:00,291339,web,15107,1,4,,2,2,350,33,14225,T4,,3,205997.0
27,145,Clothing,7,7,8,0.0,N/D,108905,0,Yes,Yes,No,No,Yes,Not VIP,2018-02-02 21:01:10.763000+00:00,373926,web,125233,1,1,,4,4,87,998,108929,T4,T4,1,158824.0
28,200,Clothing,4,4,4,0.0," T-shirts, singlets and other vests",99586,1,No,No,No,No,No,Not VIP,2018-02-18 16:58:33.503000+00:00,314805,web,113756,5082,3,,1,3,18,1214,99609,T4,,4,220217.0
