id,brand,category_1stlevel,country,countrycode,countryoforigin,ddprate,ddpsubcategory,designer,freereturn,hasitemsonbag,hasusedwishlist,isreseller,issale,isusingmultipledevices,isvip,orderdate_gmt,orderportalid,platform,productid,promocode,region,returned,shipper,shiptypeid,size,storeid,style,tierafterorder,tierbeforeorder,userfraudstatus,userid
01d09bdf4102f970a82e7b4421ffa47c,2,Clothing,50,50,36,0,Items of leather clothing & accessories,35340,1,No,No,No,Yes,Yes,Not VIP,2018-01-12 10:52:21.890000+00:00,104679,web,38724,924,3,,1,3,33,132,35349,T2,T3,3,10002
2bca879543e1041b124bd6e25399dbc6,14,Clothing,27,27,1,0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",12069,1,No,Yes,No,No,Yes,Not VIP,2018-02-11 22:54:23.243000+00:00,371685,app,7238,1,3,,1,3,63,128,12074,T3,T3,3,200751
6caeef40fea25661c8f25e1511ce694c,14,Shoes,4,4,1,0,N/D,8622,1,No,Yes,No,No,Yes,Not VIP,2018-01-19 21:12:27.616000+00:00,375896,web,9075,1,3,,1,3,28,309,8627,T4,T4,4,186164
4dfabaa0ac315fcdc390c11f0a499139,279,Girls Clothing,12,12,1,0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",22639,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-11 09:33:32.726000+00:00,92216,app,24378,924,4,,2,2,65,377,22647,T3,T3,3,37526
2fb3f707b62ac078048dc1a38c27cf72,314,Shoes,2,2,2,32.2021,Other footwear,23517,1,Yes,Yes,No,No,No,Not VIP,2018-01-17 13:50:47.180000+00:00,139968,app,25349,1,1,,2,2,23,336,23525,T2,T3,3,109042
2f8b7db8be65cb3abeba13cc8004c975,23,Shoes,5,5,1,0,Other footwear,15333,1,No,Yes,No,Yes,No,Not VIP,2018-01-26 10:33:50.813000+00:00,191755,web,16314,1,3,,2,2,28,30,15340,T4,,3,143605
c25f8621a8124c8bb9d78da08216cdf3,38,Accessories,40,40,1,5.8485,N/D,110671,1,Yes,Yes,No,No,Yes,Not VIP,2018-02-02 00:58:26.880000+00:00,229671,web,127438,4277,4,,2,2,6,1198,110695,T2,T2,3,110167
8caa4453ee0a54b9cc35641a1044b3ca,37,Shoes,4,4,1,0,Footwear with outer soles of rubber or plastics,7246,1,No,No,No,No,No,Not VIP,2018-01-02 14:30:33.183000+00:00,392367,web,7588,1,3,,2,2,12,36,7250,,,3,263927
4c10e4f94816f487c2e576879895cb37,50,Homeware,2,2,1,27.9203,Articles of a kind normally carried in the pocket or in the handbag,17987,1,No,Yes,No,No,No,Not VIP,2018-01-28 16:02:13.406000+00:00,393912,app,21247,1,1,,2,2,17,114,17994,,,4,264665
5b5e1b0a71bf6ccb922261ffd241c970,19,Clothing,7,7,16,0,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",31854,0,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-29 01:18:50.446000+00:00,206074,web,34773,1,1,,2,2,9,15,31863,T1,T1,7,73313
