id,isusingmultipledevices,freereturn,userid
cfcd208495d565ef66e7dff9f98764da,No,1,1
c4ca4238a0b923820dcc509a6f75849b,No,1,2
c81e728d9d4c2f636f067f89cc14862c,No,1,3
eccbc87e4b5ce2fe28308fd9f2a7baf3,No,1,3
a87ff679a2f3e71d9181a67b7542122c,No,1,4
e4da3b7fbbce2345d7772b0674a318d5,No,1,5
1679091c5a880faf6fb5e6087eb1b2dc,No,1,5
8f14e45fceea167a5a36dedd4bea2543,No,1,5
c9f0f895fb98ab9159f51fd0297e236d,Yes,1,6
45c48cce2e2d7fbdea1afc51c7c6ad26,Yes,1,6
d3d9446802a44259755d38e6d163e820,No,1,7
6512bd43d9caa6e02c990b0a82652dca,No,1,8
c20ad4d76fe97759aa27a0c99bff6710,No,1,9
c51ce410c124a10e0db5e4b97fc2af39,No,1,10
aab3238922bcc25a6f606eb525ffdc56,No,1,11
9bf31c7ff062936a96d3c8bd1f8f2ff3,No,1,12
c74d97b01eae257e44aa9d5bade97baf,No,1,12
70efdf2ec9b086079795c442636b55fb,No,1,269700
6f4922f45568161a8cdf4ad2299f6d23,No,1,13
1f0e3dad99908345f7439f8ffabdffc4,No,1,13
98f13708210194c475687be6106a3b84,No,0,14
3c59dc048e8850243be8079a5c74d079,No,1,15
b6d767d2f8ed5d21a44b0e5886680cb9,No,1,16
37693cfc748049e45d87b8c7d8b9aacd,No,1,17
1ff1de774005f8da13f42943881c655f,Yes,1,18
8e296a067a37563370ded05f5a3bf3ec,No,1,19
4e732ced3463d06de0ca9a15b6153677,No,1,20
02e74f10e0327ad868d138f2b4fdd6f0,No,0,21
33e75ff09dd601bbe69f351039152189,No,1,22
6ea9ab1baa0efb9e19094440c317e21b,No,1,22
34173cb38f07f89ddbebc2ac9128303f,No,1,23
c16a5320fa475530d9583c34fd356ef5,No,1,24
6364d3f0f495b6ab9dcf8d3b5c6e0b01,No,1,25
182be0c5cdcd5072bb1864cdee4d3d6e,No,1,26
e369853df766fa44e1ed0ff613f563bd,No,1,27
1c383cd30b7c298ab50293adfecb7b18,No,1,55328
19ca14e7ea6328a42e0eb13d585e4c22,API,API,API
a5bfc9e07964f8dddeb95fc584cd965d,No,1,28
a5771bce93e200c36f7cd9dfd0e5deaa,No,1,29
d67d8ab4f4c10bf22aa353e27879133c,Yes,1,30
d645920e395fedad7bbbed0eca3fe2e0,Yes,1,31
3416a75f4cea9109507cacd8e2f2aefc,WEBSITE,WEBSITE,WEBSITE
a1d0c6e83f027327d8461063f4ac58a6,No,1,32
17e62166fc8586dfa4d1bc0e1742c08b,No,1,33
f7177163c833dff4b38fc8d2872f1ec6,No,1,34
6c8349cc7260ae62e3b1396831a8398f,No,1,35
d9d4f495e875a2e075a1a4a6e1b9770f,No,1,35
67c6a1e7ce56d3d6fa748ab6d9af3fd7,No,1,35
642e92efb79421734881b53e1e1b18b6,WEBSITE,WEBSITE,WEBSITE
f457c545a9ded88f18ecee47145a72c0,No,1,37
c0c7c76d30bd3dcaefc96f40275bdc0a,No,1,38
2838023a778dfaecdc212708f721b788,No,1,39
9a1158154dfa42caddbd0694a4e9bdc8,No,1,40
d82c8d1619ad8176d665453cfb2e55f0,No,1,41
a684eceee76fc522773286a895bc8436,Yes,1,42
b53b3a3d6ab90ce0268229151c9bde11,No,1,43
9f61408e3afb633e50cdf1b20de6f466,No,1,44
72b32a1f754ba1c09b3695e0cb6cde7f,No,1,256545
66f041e16a60928b05a7e228a89c3799,No,1,45
093f65e080a295f8076b1c5722a46aa2,No,1,46
072b030ba126b2f4b2374f342be9ed44,No,1,47
7f39f8317fbdb1988ef4c628eba02591,No,1,48
44f683a84163b3523afe57c2e008bc8c,Yes,1,49
03afdbd66e7929b125f8597834fa83a4,Yes,1,49
ea5d2f1c4608232e07d3aa3d998e5135,Yes,1,42
fc490ca45c00b1249bbe3554a4fdf6fb,Yes,1,42
3295c76acbf4caaed33c36b1b5fc2cb1,No,1,50
735b90b4568125ed6c3f678819b6e058,Yes,1,51
a3f390d88e4c41f2747bfa2f1b5f87db,No,1,52
14bfa6bb14875e45bba028a21ed38046,No,1,52
7cbbc409ec990f19c78c75bd1e06f215,Yes,1,53
e2c420d928d4bf8ce0ff2ec19b371514,Yes,1,54
32bb90e8976aab5298d5da10fe66f21d,No,1,55
d2ddea18f00665ce8623e36bd4e3c7c5,No,1,56
ad61ab143223efbc24c7d2583be69251,No,1,57
d09bf41544a3365a46c9077ebb5e35c3,Yes,1,58
fbd7939d674997cdb4692d34de8633c4,Yes,1,58
28dd2c7955ce926456240b2ff0100bde,Yes,1,58
35f4a8d465e6e1edc05f3d8ab658c551,Yes,1,58
d1fe173d08e959397adf34b1d77e88d7,No,1,59
f033ab37c30201f73f142449d037028d,No,1,60
43ec517d68b6edd3015b3edc9a11367b,Yes,1,61
9778d5d219c5080b9a6a17bef029331c,Yes,1,61
fe9fc289c3ff0af142b6d3bead98a923,Yes,1,61
68d30a9594728bc39aa24be94b319d21,Yes,1,255071
3ef815416f775098fe977004015c6193,WEBSITE,WEBSITE,WEBSITE
93db85ed909c13838ff95ccfa94cebd9,Yes,1,62
c7e1249ffc03eb9ded908c236bd1996d,No,1,63
2a38a4a9316c49e5a833517c45d31070,No,1,64
7647966b7343c29048673252e490f736,No,1,65
8613985ec49eb8f757ae6439e879bb2a,No,1,66
54229abfcfa5649e7003b83dd4755294,API,API,API
92cc227532d17e56e07902b254dfad10,No,1,199964
98dce83da57b0395e163467c9dae521b,No,1,67
f4b9ec30ad9f68f89b29639786cb62ef,No,1,68
812b4ba287f5ee0bc9d43bbf5bbe87fb,No,1,68
26657d5ff9020d2abefe558796b99584,No,1,68
e2ef524fbf3d9fe611d5a8e90fefdc9c,No,1,69
ed3d2c21991e3bef5e069713af9fa6ca,No,1,69
ac627ab1ccbdb62ec96e702f07f6425b,WEBSITE,WEBSITE,WEBSITE
f899139df5e1059396431415e770c6dd,WEBSITE,WEBSITE,WEBSITE
38b3eff8baf56627478ec76a704e9b52,WEBSITE,WEBSITE,WEBSITE
ec8956637a99787bd197eacd77acce5e,WEBSITE,WEBSITE,WEBSITE
6974ce5ac660610b44d9b9fed0ff9548,No,1,69
c9e1074f5b3f9fc8ea15d152add07294,No,1,69
65b9eea6e1cc6bb9f0cd2a47751a186f,No,1,69
f0935e4cd5920aa6c7c996a5ee53a70f,No,1,70
a97da629b098b75c294dffdc3e463904,No,1,71
a3c65c2974270fd093ee8a9bf8ae7d0b,Yes,1,72
2723d092b63885e0d7c260cc007e8b9d,Yes,1,72
5f93f983524def3dca464469d2cf9f3e,Yes,1,72
698d51a19d8a121ce581499d7b701668,Yes,1,266822
7f6ffaa6bb0b408017b62254211691b5,WEBSITE,WEBSITE,WEBSITE
73278a4a86960eeb576a8fd4c9ec6997,No,1,73
5fd0b37cd7dbbb00f97ba6ce92bf5add,No,1,5
2b44928ae11fb9384c4cf38708677c48,Yes,1,74
c45147dee729311ef5b5c3003946c48f,Yes,1,74
eb160de1de89d9058fcb0b968dbbbd68,Yes,1,75
5ef059938ba799aaa845e1c2e8a762bd,Yes,1,262449
07e1cd7dca89a1678042477183b7ac3f,Yes,1,262449
da4fb5c6e93e74d3df8527599fa62642,WEBSITE,WEBSITE,WEBSITE
4c56ff4ce4aaf9573aa5dff913df997a,Yes,1,76
a0a080f42e6f13b3a2df133f073095dd,Yes,1,76
202cb962ac59075b964b07152d234b70,Yes,1,77
c8ffe9a587b126f152ed3d89a146b445,WEBSITE,WEBSITE,WEBSITE
3def184ad8f4755ff269862ea77393dd,Yes,1,77
069059b7ef840f0c74a814ec9237b6ec,Yes,1,77
ec5decca5ed3d6b8079e2e7e7bacc9f2,No,1,78
76dc611d6ebaafc66cc0879c71b5db5c,No,1,79
d1f491a404d6854880943e5c3cd9ca25,No,1,80
9b8619251a19057cff70779273e95aa6,No,1,81
1afa34a7f984eeabdbb0a7d494132ee5,No,1,82
65ded5353c5ee48d0b7d48c591b8f430,No,1,82
9fc3d7152ba9336a670e36d0ed79bc43,WEBSITE,WEBSITE,WEBSITE
02522a2b2726fb0a03bb19f2d8d9524d,No,1,83
7f1de29e6da19d22b51c68001e7e0e54,No,1,84
42a0e188f5033bc65bf8d78622277c4e,No,1,84
3988c7f88ebcb58c6ce932b957b6f332,No,1,84
013d407166ec4fa56eb1e1f8cbe183b9,No,1,85
e00da03b685a0dd18fb6a08af0923de0,No,1,86
1385974ed5904a438616ff7bdb3f7439,No,1,86
0f28b5d49b3020afeecd95b4009adf4c,Yes,1,87
a8baa56554f96369ab93e4f3bb068c22,Yes,1,87
903ce9225fca3e988c2af215d4e544d3,No,1,88
0a09c8844ba8f0936c20bd791130d6b6,WEBSITE,WEBSITE,WEBSITE
2b24d495052a8ce66358eb576b8912c8,No,1,89
a5e00132373a7031000fd987a3c9f87b,WEBSITE,WEBSITE,WEBSITE
8d5e957f297893487bd98fa830fa6413,Yes,1,90
47d1e990583c9c67424d369f3414728e,Yes,1,90
f2217062e9a397a1dca429e7d70bc6ca,No,1,91
7ef605fc8dba5425d6965fbd4c8fbe1f,No,1,92
a8f15eda80c50adb0e71943adc8015cf,No,1,93
37a749d808e46495a8da1e5352d03cae,Yes,1,94
b3e3e393c77e35a4a3f3cbd1e429b5dc,No,1,95
1d7f7abc18fcb43975065399b0d1e48e,Yes,1,96
2a79ea27c279e471f4d180b08d62b00a,Yes,1,96
1c9ac0159c94d8d0cbedc973445af2da,No,1,90707
6c4b761a28b734fe93831e3fb400ce87,Yes,1,97
06409663226af2f3114485aa4e0a23b4,No,1,98
140f6969d5213fd0ece03148e62e461e,No,1,99
b73ce398c39f506af761d2277d853a92,No,1,100
bd4c9ab730f5513206b999ec0d90d1fb,No,1,101
82aa4b0af34c2313a562076992e50aa3,No,1,102
0777d5c17d4066b82ab86dff8a46af6f,WEBSITE,WEBSITE,WEBSITE
fa7cdfad1a5aaf8370ebeda47a1ff1c3,No,1,103
9766527f2b5d3e95d4a733fcfb77bd7e,Yes,1,104
7e7757b1e12abcb736ab9a754ffb617a,Yes,1,104
5878a7ab84fb43402106c575658472fa,Yes,1,105
006f52e9102a8d3be2fe5614f42ba989,No,1,106
3636638817772e42b59d74cff571fbb3,No,1,107
149e9677a5989fd342ae44213df68868,Yes,1,108
a4a042cf4fd6bfb47701cbc8a1653ada,Yes,1,109
1ff8a7b5dc7a7d1f0ed65aaa29c04b1e,Yes,1,109
f7e6c85504ce6e82442c770f7c8606f0,Yes,1,109
bf8229696f7a3bb4700cfddef19fa23f,Yes,0,110
82161242827b703e6acf9c726942a1e4,Yes,1,111
38af86134b65d0f10fe33d30dd76442e,No,1,112
96da2f590cd7246bbde0051047b0d6f7,No,1,112
8f85517967795eeef66c225f7883bdcb,No,1,113
8f53295a73878494e9bc8dd6c3c7104f,No,1,114
045117b0e0a11a242b9765e79cbf113f,No,1,115
fc221309746013ac554571fbd180e1c8,No,1,116
4c5bde74a8f110656874902f07378009,No,1,117
cedebb6e872f539bef8c3f919874e9d7,No,1,118
6cdd60ea0045eb7a6ec44c54d29ed402,Yes,1,255999
eecca5b6365d9607ee5a9d336962c534,Yes,1,119
9872ed9fc22fc182d371c3e9ed316094,No,1,120
31fefc0e570cb3860f2a6d4b38c6490d,No,1,121
9dcb88e0137649590b755372b040afad,No,1,121
a2557a7b2e94197ff767970b67041697,No,1,122
cfecdb276f634854f3ef915e2e980c31,No,1,123
0aa1883c6411f7873cb83dacb17b0afc,No,1,124
58a2fc6ed39fd083f55d4182bf88826d,No,0,125
bd686fd640be98efaae0091fa301e613,No,0,125
a597e50502f5ff68e3e25b9114205d4a,No,0,125
0336dcbab05b9d5ad24f4333c7658a0e,No,1,126
084b6fbb10729ed4da8c3d3f5a3ae7c9,No,1,126
85d8ce590ad8981ca2c8286f79f59954,No,1,126
0e65972dce68dad4d52d063967f0a705,No,1,126
84d9ee44e457ddef7f2c4f25dc8fa865,Yes,1,127
3644a684f98ea8fe223c713b77189a77,Yes,1,127
757b505cfd34c64c85ca5b5690ee5293,No,1,128
854d6fae5ee42911677c739ee1734486,No,1,128
e2c0be24560d78c5e599c2a9c9d0bbd2,No,1,129
274ad4786c3abca69fa097b85867d9a4,Yes,1,260440
eae27d77ca20db309e056e3d2dcd7d69,No,1,130
7eabe3a1649ffa2b3ff8c02ebfd5659f,No,1,131
69adc1e107f7f7d035d7baf04342e1ca,No,1,131
091d584fced301b442654dd8c23b3fc9,No,1,132
b1d10e7bafa4421218a51b1e1f1b0ba2,No,1,133
6f3ef77ac0e3619e98159e9b6febf557,WEBSITE,WEBSITE,WEBSITE
eb163727917cbba1eea208541a643e74,No,1,134
1534b76d325a8f591b52d302e7181331,No,1,135
979d472a84804b9f647bc185a877a8b5,Yes,1,136
ca46c1b9512a7a8315fa3c5a946e8265,No,1,246599
3b8a614226a953a8cd9526fca6fe9ba5,No,1,137
45fbc6d3e05ebd93369ce542e8f2322d,Yes,1,138
63dc7ed1010d3c3b8269faf0ba7491d4,Yes,1,138
e96ed478dab8595a7dbda4cbcbee168f,No,1,139
c0e190d8267e36708f955d7ab048990d,Yes,1,140
ec8ce6abb3e952a85b8551ba726a1227,No,1,141
060ad92489947d410d897474079c1477,No,1,142
bcbe3365e6ac95ea2c0343a2395834dd,No,1,143
115f89503138416a242f40fb7d7f338e,No,1,143
13fe9d84310e77f13a6d184dbf1232f3,WEBSITE,WEBSITE,WEBSITE
d1c38a09acc34845c6be3a127a5aacaf,Yes,1,144
9cfdf10e8fc047a44b08ed031e1f0ed1,No,1,145
705f2172834666788607efbfca35afb3,No,1,33
74db120f0a8e5646ef5a30154e9f6deb,No,1,33
57aeee35c98205091e18d1140e9f38cf,No,1,146
6da9003b743b65f4c0ccd295cc484e57,No,1,146
9b04d152845ec0a378394003c96da594,No,1,146
be83ab3ecd0db773eb2dc1b0a17836a1,No,1,146
e165421110ba03099a1c0393373c5b43,No,1,146
289dff07669d7a23de0ef88d2f7129e7,No,1,146
577ef1154f3240ad5b9b413aa7346a1e,Yes,1,147
01161aaa0b6d1345dd8fe4e481144d84,Yes,1,148
539fd53b59e3bb12d203f45a912eeaf2,WEBSITE,WEBSITE,WEBSITE
ac1dd209cbcc5e5d1c6e28598e8cbbe8,Yes,1,149
555d6702c950ecb729a966504af0a635,No,1,150
335f5352088d7d9bf74191e006d8e24c,No,1,151
f340f1b1f65b6df5b5e3f94d95b11daf,No,1,152
e4a6222cdb5b34375400904f03d8e6a5,No,1,153
cb70ab375662576bd1ac5aaf16b3fca4,No,1,154
9188905e74c28e489b44e954ec0b9bca,Yes,1,155
0266e33d3f546cb5436a10798e657d97,Yes,1,156
38db3aed920cf82ab059bfccbd02be6a,No,1,157
3cec07e9ba5f5bb252d13f5f431e4bbb,No,1,157
621bf66ddb7c962aa0d22ac97d69b793,WEBSITE,WEBSITE,WEBSITE
077e29b11be80ab57e1a2ecabb7da330,No,1,158
6c9882bbac1c7093bd25041881277658,No,1,158
19f3cd308f1455b3fa09a282e0d496f4,No,1,159
03c6b06952c750899bb03d998e631860,No,1,159
c24cd76e1ce41366a4bbe8a49b02a028,No,1,159
c52f1bd66cc19d05628bd8bf27af3ad6,No,1,160
fe131d7f5a6b38b23cc967316c13dae2,No,1,161
f718499c1c8cef6730f9fd03c8125cab,Yes,1,162
d96409bf894217686ba124d7356686c9,Yes,1,163
502e4a16930e414107ee22b6198c578f,Yes,1,163
cfa0860e83a4c3a763a7e62d825349f7,No,1,164
a4f23670e1833f3fdb077ca70bbd5d66,No,1,164
b1a59b315fc9a3002ce38bbe070ec3f5,Yes,1,165
36660e59856b4de58a219bcf4e27eba3,Yes,1,41167
8c19f571e251e61cb8dd3612f26d5ecf,No,1,38
d6baf65e0b240ce177cf70da146c8dc8,No,1,38
e56954b4f6347e897f954495eab16a88,WEBSITE,WEBSITE,WEBSITE
f7664060cc52bc6f3d620bcedc94a4b6,Yes,1,166
eda80a3d5b344bc40f3bc04f65b7a357,Yes,1,166
8f121ce07d74717e0b1f21d122e04521,Yes,1,166
06138bc5af6023646ede0e1f7c1eac75,Yes,1,167
39059724f73a9969845dfe4146c5660e,No,1,151
7f100b7b36092fb9b06dfb4fac360931,No,1,168
7a614fd06c325499f1680b9896beedeb,WEBSITE,WEBSITE,WEBSITE
4734ba6f3de83d861c3176a6273cac6d,Yes,1,169
d947bf06a885db0d477d707121934ff8,No,1,170
63923f49e5241343aa7acb6a06a751e7,No,1,170
db8e1af0cb3aca1ae2d0018624204529,No,1,170
20f07591c6fcb220ffe637cda29bb3f6,No,1,170
07cdfd23373b17c6b337251c22b7ea57,No,1,171
d395771085aab05244a4fb8fd91bf4ee,No,1,172
92c8c96e4c37100777c7190b76d28233,No,1,172
e3796ae838835da0b6f6ea37bcf8bcb7,No,1,173
6a9aeddfc689c1d0e3b9ccc3ab651bc5,Yes,1,174
