id,orderportalid,orderdate_gmt,designer,style,shipper,shiptypeid,userid,isvip,country,region,ddprate,countrycode,hasusedwishlist,isreseller,hasitemsonbag,tierafterorder,tierbeforeorder,isusingmultipledevices,userfraudstatus,promocode,freereturn,issale,productid,brand,ddpsubcategory,storeid,countryoforigin,size,category_1stlevel,platform
c9763e7a1e2aa0b3d342b73e3992c6b6,274636,2018-02-10 03:56:18.453000+00:00,60959,60973,3,2,195534.0,Not VIP,1,1,13.8528,1,Yes,No,No,,,No,3,1,1,No,68000,105,Other footwear,64,1,76,Shoes,web
24b0747dca7e2906fbcaacf7f0bdbdae,309155,2018-02-17 12:30:39.566000+00:00,46277,46290,2,2,216661.0,Not VIP,13,3,0.0,13,No,No,No,T4,,Yes,4,1,1,No,154095,452,"Coats: overcoats, raincoat, cape, cloaks and similar articles",216,1,9,Clothing,web
14b1cbe4ced41b15ac2eb18eafabc35d,247232,2018-02-05 11:08:52.650000+00:00,3618,3622,3,4,178739.0,Not VIP,7,1,0.0,7,Yes,No,No,T4,T4,Yes,3,1,0,Yes,74257,657,N/D,586,8,401,Clothing,web
6214e33a1d93eabdc3f036bf22563c4a,97084,2018-01-11 17:37:01.273000+00:00,35813,35822,2,2,28211.0,Not VIP,5,3,0.0,5,Yes,No,No,T1,T1,Yes,4,924,1,Yes,39258,270,Items of leather clothing & accessories,11,1,47,Clothing,web
35ded1ee84035fd315d0ab34ccdf69d8,34371,2018-01-06 19:16:07.653000+00:00,6426,6430,2,2,30297.0,Not VIP,4,3,0.0,4,No,No,No,T4,T4,Yes,3,1,1,Yes,5406,14,Other footwear with outer soles of leather,73,1,25,Shoes,web
5619e0cb1ad9806f3156fc000271d366,62233,2018-01-09 01:45:18.580000+00:00,49514,49526,2,2,52739.0,VIP,15,4,12.9314,15,Yes,No,No,T1,T1,No,3,924,1,Yes,54800,14,Shirts,968,1,54,Clothing,
e2a32bfa0df2b9c20a1721b651dc4e6e,306148,2018-02-16 18:32:19.300000+00:00,12969,12976,2,2,214908.0,Not VIP,1,1,0.0,1,No,No,No,T4,,No,3,5082,1,No,70509,102,Articles of a kind normally carried in the pocket or in the handbag,1216,29,1,Accessories,web
e13b68ff1fe7a3e3f178477dda686774,171833,2018-01-23 01:44:31.330000+00:00,93723,93745,2,2,130714.0,Not VIP,17,4,24.3652,17,Yes,No,Yes,T3,T3,No,3,1,1,Yes,106534,171,Jackets and blazers,142,9,33,Clothing,web
19bd4cdfd8f0974c06c49735e20aaf47,181697,2018-01-24 17:12:42.633000+00:00,53314,53326,2,2,825.0,Not VIP,12,4,0.0,12,Yes,Yes,Yes,VIP,VIP,Yes,6,1,1,No,9078,137,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",236,1,8,Clothing,app
7b5bdfc3463973353c96415d45663cc4,15497,2018-01-03 22:02:39.743000+00:00,16304,16311,2,2,14045.0,Not VIP,1,1,0.0,1,Yes,No,No,T2,T2,No,3,1,1,Yes,17364,501,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",483,26,6,Bags,web
5c17102aca6401a7e1a06c5794fcb7cc,292793,2018-02-14 00:28:56.870000+00:00,127864,127894,1,3,175638.0,VIP,1,1,0.0,1,Yes,No,Yes,T1,T1,No,4,1,1,No,148881,121,N/D,78,20,231,Clothing,app
3df5e5bd22bbdb70bce1b604f462935b,103136,2018-01-12 08:00:21.840000+00:00,43683,43695,2,2,83158.0,Not VIP,5,3,0.0,5,Yes,No,No,T4,T4,No,3,924,1,Yes,48209,11,Footwear with outer soles of rubber or plastics,148,26,121,Shoes,web
62efaa6ca64a6ee66cea03a0836659a3,197360,2018-01-27 10:43:13.843000+00:00,27185,27193,2,2,147195.0,Not VIP,16,4,15.4853,16,No,No,No,T4,,No,3,1,1,No,29518,1400,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",229,3,18,Clothing,web
fb855cb32222e95b0d2c51ec1d8f6ede,165920,2018-01-22 01:58:00.116000+00:00,79518,79537,3,4,126771.0,Not VIP,7,1,0.0,7,Yes,No,Yes,T3,T3,No,3,317,0,Yes,89585,1489,N/D,932,8,401,Clothing,web
6b8a897caf921629c114383ed458ca3a,149682,2018-01-19 04:13:53.126000+00:00,35187,35196,2,2,115703.0,Not VIP,1,1,5.0083,1,No,No,No,T4,,No,3,1,1,No,38554,27,"Handbags, whether or not with shoulder strap, including those without handle",52,4,17,Bags,web
49a1e4d7a2cc38b4078d456954e21983,287746,2018-02-12 22:54:00.453000+00:00,116856,116885,2,2,203807.0,Not VIP,15,4,0.0,15,No,No,No,T4,,No,3,1,1,No,119997,2,N/D,189,1,1,Homeware,app
483af408f4746ff2bef58aeba81b7ffc,192833,2018-01-26 14:44:37.823000+00:00,94577,94600,2,2,76095.0,Not VIP,9,3,0.0,9,Yes,No,Yes,T2,T2,No,3,1,1,No,107604,149,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",1175,2,8,Clothing,web
6658ece126c1c7e96bb1957fd9368cd1,82639,2018-01-10 14:15:13.166000+00:00,40218,40228,2,2,68172.0,Not VIP,58,3,0.0,58,Yes,No,Yes,T4,,Yes,3,924,1,Yes,66824,303,"Handbags, whether or not with shoulder strap, including those without handle",236,1,17,Bags,web
3944cdc856e4654911e14a20a3cb47e5,311634,2018-02-17 23:55:07.540000+00:00,668,670,2,2,218232.0,Not VIP,3,2,0.0,3,Yes,No,Yes,T3,T3,Yes,3,1,1,No,675,84,"Pantyhose, tights",1081,1,18,Clothing,app
36661788e06455ae67bbedb5677b28d0,220957,2018-01-31 14:50:15.396000+00:00,2264,2267,2,2,162442.0,Not VIP,60,3,0.0,60,No,No,No,T3,T4,Yes,3,1,1,No,124313,406,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",1095,24,14,Clothing,
68f503d25f663740109d803c8e781ede,301799,2018-02-15 20:51:46.230000+00:00,49252,49264,2,2,212360.0,Not VIP,5,3,0.0,5,No,No,Yes,T2,T3,No,3,1,1,Yes,54504,308,"Blouses, shirts and shirt-blouses",30,1,42,Clothing,app
d58a95b3c23b1ab7f9f51c02887106a2,261890,2018-02-07 21:19:18.500000+00:00,87790,87812,1,3,187733.0,Not VIP,36,3,0.0,36,No,No,No,T4,,No,3,1,1,Yes,99458,433,"Trousers, overalls, shorts",127,6,714,Clothing,web
c8c10b0f62f5a9478d50a49d377c1dbf,250959,2018-02-06 01:12:54.190000+00:00,116986,117015,3,2,72958.0,Not VIP,2,1,42.2351,2,Yes,No,No,T2,T2,Yes,3,4185,1,No,13950,992,,108,4,3,Clothing,
b06efec79f8fa2d9ca4c327eca7de3bd,95978,2018-01-11 15:48:26.416000+00:00,36582,36591,1,3,78007.0,Not VIP,11,3,0.0,11,No,No,Yes,T4,,No,3,924,1,Yes,40120,38,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",11,4,2,Clothing,web
3980431c9140e519de184c1dc1e1bd8a,35190,2018-01-06 22:20:21.110000+00:00,1702,1704,1,3,31005.0,Not VIP,9,3,0.0,9,No,No,No,T4,,No,3,1,1,No,8479,11,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",87,4,3,Clothing,web
aeee537272209dc4aff4bfa5bba643d9,78954,2018-01-10 08:24:24.983000+00:00,58247,58260,3,2,65353.0,Not VIP,12,4,0.0,12,Yes,No,No,,,No,3,924,1,Yes,64824,84,"Handbags, whether or not with shoulder strap, including those without handle",85,1,17,Bags,web
